restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g274707-d15041904,U Milo Italian Dairy,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"U Milosrdnych 4, Prague 110 00 Czech Republic",50.09174,14.420886,Claimed,,#1675 of 4632 Restaurants in Prague,#2012 of 6176 places to eat in Prague,"Mid-range, Italian, Pizza, Mediterranean",€€-€€€,€7-€23,,"Italian, Pizza, Mediterranean, Israeli",Kosher,,N,N,N,"{""Mon"": [""12:00-22:30""], ""Tue"": [""12:00-22:30""], ""Wed"": [""12:00-22:30""], ""Thu"": [""12:00-22:30""], ""Fri"": [], ""Sat"": [], ""Sun"": [""12:00-22:30""]}",5.0,52.5,5.0,4.0,15.0,English,9.0,3.0,3.0,2.0,1.0,0.0,,,,,
g274707-d15041965,Estella CAFÉ,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Jugoslavskych partyzanů 639/26, Prague 16000 Czech Republic",50.10534,14.39514,Claimed,,#292 of 410 Coffee & Tea in Prague,#2857 of 6176 places to eat in Prague,"Cheap Eats, Cafe",€,,Drinks,Cafe,,"Takeout, Reservations, Seating, Serves Alcohol, Accepts Credit Cards",N,N,N,"{""Mon"": [""08:00-19:00""], ""Tue"": [""08:00-19:00""], ""Wed"": [""08:00-19:00""], ""Thu"": [""08:00-19:00""], ""Fri"": [""08:00-19:00""], ""Sat"": [""10:00-18:00""], ""Sun"": [""10:00-18:00""]}",7.0,71.0,7.0,4.5,5.0,English,4.0,1.0,3.0,0.0,0.0,0.0,,,,,
g274707-d15043518,No Nightmares Tonight,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Budečská 28, Prague 120 00 Czech Republic",50.07572,14.442238,Unclaimed,,#2679 of 4632 Restaurants in Prague,#3162 of 6176 places to eat in Prague,"Cheap Eats, Bar, Pub",€,€1-€7,Dinner,"Bar, Pub",,,N,N,N,"{""Mon"": [], ""Tue"": [], ""Wed"": [""19:00-02:00""], ""Thu"": [""19:00-02:00""], ""Fri"": [""19:00-02:00""], ""Sat"": [""19:00-02:00""], ""Sun"": [""19:00-02:00""]}",5.0,35.0,5.0,4.5,3.0,English,3.0,2.0,1.0,0.0,0.0,0.0,,,,,
g274707-d1504567,La Finestra in Cucina,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Platnerska 90/13, Prague 110 00 Czech Republic",50.087337,14.416121,Claimed,"Travellers' Choice, Michelin 2020 for The Michelin Plate: Good cooking, Michelin 2020 for Simple restaurant",#81 of 4632 Restaurants in Prague,#93 of 6176 places to eat in Prague,"Fine Dining, Italian, Mediterranean, European",€€€€,,"Lunch, Dinner, Drinks","Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""12:00-15:00"", ""17:00-00:00""], ""Tue"": [""12:00-15:00"", ""17:00-00:00""], ""Wed"": [""12:00-15:00"", ""17:00-00:00""], ""Thu"": [""12:00-15:00"", ""17:00-00:00""], ""Fri"": [""12:00-15:00"", ""17:00-00:00""], ""Sat"": [""12:00-15:00"", ""17:00-00:00""], ""Sun"": [""12:00-15:00"", ""17:00-23:00""]}",7.0,69.0,14.0,4.5,1655.0,English,1025.0,795.0,162.0,43.0,21.0,4.0,4.5,4.5,4.5,4.5,"pasta, steak, octopus, amuse bouche, tiramisu"
g274707-d1504569,Grand Cru Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Lodecka 1181/4, Prague 110 00 Czech Republic",50.091656,14.432789,Claimed,"Travellers' Choice, Michelin 2020 for The Michelin Plate: Good cooking, Michelin 2020 for Comfortable restaurant",#18 of 4632 Restaurants in Prague,#20 of 6176 places to eat in Prague,"Fine Dining, International, European, Contemporary",€€€€,€10-€36,"Lunch, Dinner, Drinks","European, Central European, International, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Outdoor Seating, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift Cards Available",Y,Y,Y,"{""Mon"": [""11:30-15:00"", ""17:30-23:00""], ""Tue"": [""11:30-15:00"", ""17:30-23:00""], ""Wed"": [""11:30-15:00"", ""17:30-23:00""], ""Thu"": [""11:30-15:00"", ""17:30-23:00""], ""Fri"": [""11:30-15:00"", ""17:30-23:00""], ""Sat"": [""17:30-23:00""], ""Sun"": []}",6.0,50.5,11.0,4.5,611.0,English,296.0,249.0,33.0,10.0,3.0,1.0,4.5,4.5,4.5,4.5,"quail, tasting menu, amuse bouche, ravioli, bread"
g274707-d15047321,Kinte,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Masarykovo nábř. 238/20, Prague 11000 Czech Republic",50.0783,14.414475,Unclaimed,,#1457 of 4632 Restaurants in Prague,#1744 of 6176 places to eat in Prague,"Mid-range, European, Central European, Israeli",€€-€€€,€2-€31,,"European, Central European, Israeli",,"Reservations, Seating, Table Service",N,N,N,,,,,5.0,12.0,English,9.0,8.0,0.0,1.0,0.0,0.0,,,,,
g274707-d15048366,Pizzerie Klamovka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Plzenska 129, Prague 15000 Czech Republic",50.070442,14.365875,Unclaimed,,#2274 of 4632 Restaurants in Prague,#2711 of 6176 places to eat in Prague,"Cheap Eats, Italian",€,,"Lunch, Dinner",Italian,,,N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",7.0,84.0,7.0,4.5,6.0,English,4.0,1.0,2.0,1.0,0.0,0.0,,,,,
g274707-d15049400,MR.HU SUSHI & GRILL,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Krakovska 593/19, Prague 11000 Czech Republic",50.079113,14.428121,Unclaimed,,#1645 of 4632 Restaurants in Prague,#1977 of 6176 places to eat in Prague,"Mid-range, Japanese, Seafood, Sushi",€€-€€€,€15-€23,,"Japanese, Sushi, Asian, Seafood",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""10:00-22:00""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""10:00-22:00""]}",7.0,84.0,7.0,4.0,36.0,English,16.0,11.0,2.0,0.0,2.0,1.0,3.0,3.5,3.0,,"sushi, rice, all you can eat, fast delivery, excellent food"
g274707-d15053388,Domyno Burger Bar č.2,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Vodickova 676/8, Prague 11000 Czech Republic",50.07885,14.422028,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#850 of 4632 Restaurants in Prague,#1006 of 6176 places to eat in Prague,"Mid-range, American, Bar, Fast food",€€-€€€,€2-€10,"Lunch, Dinner, Drinks","American, Bar, Fast food, Diner",,,N,N,N,"{""Mon"": [""10:00-22:00""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""10:00-22:00""]}",7.0,84.0,7.0,4.5,39.0,English,21.0,18.0,0.0,0.0,3.0,0.0,4.0,4.5,4.5,,
g274707-d15054255,Be Friendly,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Sokolovská 97/65, Prague 18600 Czech Republic",50.093403,14.448208,Unclaimed,,#4480 of 4632 Restaurants in Prague,#5100 of 6176 places to eat in Prague,"Mid-range, European, Czech",€€-€€€,,,"European, Czech",,"Reservations, Table Service",N,N,N,,,,,2.5,15.0,English,8.0,1.0,1.0,0.0,2.0,4.0,2.5,2.0,2.5,,
g274707-d15058498,Danubio Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Karolinská 650/1, Prague 186 00 Czech Republic",50.094368,14.443442,Unclaimed,,#3381 of 4632 Restaurants in Prague,#3920 of 6176 places to eat in Prague,"European, Czech",,,,"European, Czech",,,N,N,N,,,,,4.0,2.0,English,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g274707-d15060226,Speijle,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Jindrisska 937/16, Prague 110 00 Czech Republic",50.08389,14.428275,Unclaimed,,#890 of 4632 Restaurants in Prague,#1052 of 6176 places to eat in Prague,"Cheap Eats, European, Spanish, Vegetarian Friendly",€,,"Lunch, Dinner","Spanish, European",Vegetarian Friendly,,Y,N,N,,,,,4.5,28.0,English,9.0,8.0,0.0,0.0,1.0,0.0,5.0,4.5,5.0,,
g274707-d15060295,Vietnamese Restaurant Dua,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Studentska 529/1, Prague 160 00 Czech Republic",50.10059,14.3889,Unclaimed,,#1741 of 4632 Restaurants in Prague,#2093 of 6176 places to eat in Prague,Vietnamese,,,,Vietnamese,,,N,N,N,,,,,5.0,8.0,English,3.0,2.0,1.0,0.0,0.0,0.0,,,,,
g274707-d15060405,Ice La Torta,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nerudova 232/49, Prague 118 00 Czech Republic",50.08851,14.39943,Unclaimed,,,,"Mid-range, Dessert, Italian, European",€€-€€€,€2-€19,,"Italian, European",,,N,N,N,"{""Mon"": [""10:00-19:00""], ""Tue"": [""10:00-19:00""], ""Wed"": [""10:00-19:00""], ""Thu"": [""10:00-19:00""], ""Fri"": [""10:00-19:00""], ""Sat"": [""10:00-19:00""], ""Sun"": [""10:00-19:00""]}",7.0,63.0,7.0,,,,,,,,,,,,,,
g274707-d15063001,The Eatery,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"U Uranie 18 Praha 7 Holešovice, Prague 170 00 Czech Republic",50.10739,14.450833,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#23 of 4632 Restaurants in Prague,#25 of 6176 places to eat in Prague,"Mid-range, European, Czech, Central European",€€-€€€,,"Lunch, Dinner, Drinks","European, Czech, Central European","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [], ""Tue"": [""11:30-15:00"", ""17:30-23:00""], ""Wed"": [""11:30-15:00"", ""17:30-23:00""], ""Thu"": [""11:30-15:00"", ""17:30-23:00""], ""Fri"": [""11:30-15:00"", ""17:30-23:00""], ""Sat"": [""17:30-23:00""], ""Sun"": []}",5.0,41.5,9.0,5.0,146.0,English,67.0,57.0,7.0,3.0,0.0,0.0,5.0,5.0,5.0,,"grilled veal, potatoes, cakes, bread, fries"
g274707-d15067435,Cafe Infinity,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Spálená 2121/22 OD Quadrio, Prague 110 00 Czech Republic",50.08162,14.41973,Unclaimed,,#350 of 410 Coffee & Tea in Prague,#3822 of 6176 places to eat in Prague,Cafe,,,,Cafe,,,N,N,N,,,,,3.5,7.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d15069004,Vapiano,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Prikope 19-21, Prague 110 00 Czech Republic",50.08567,14.425643,Unclaimed,"Travellers' Choice, Certificate of Excellence 2020",#962 of 4632 Restaurants in Prague,#1141 of 6176 places to eat in Prague,"Mid-range, Italian, Pizza, Vegetarian Friendly",€€-€€€,,"Lunch, Dinner","Italian, Pizza",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",7.0,84.0,7.0,4.0,93.0,English,37.0,17.0,7.0,4.0,3.0,6.0,4.0,4.0,4.0,,
g274707-d1506979,Restaurace Na Rozhrani,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Srbska 286/7, Prague 160 00 Czech Republic",50.099316,14.405231,Claimed,,#639 of 4632 Restaurants in Prague,#757 of 6176 places to eat in Prague,"Mid-range, European, Czech, Central European",€€-€€€,,"Lunch, Dinner","European, Czech, Central European",Vegetarian Friendly,,Y,N,N,,,,,4.5,64.0,English,30.0,21.0,7.0,1.0,1.0,0.0,4.5,4.5,4.5,4.5,
g274707-d15070613,P-noy,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Karmelitská 380/16, Prague 118 00 Czech Republic",50.08614,14.40434,Unclaimed,,,,"Philippine, Asian",,,,"Philippine, Asian",,,N,N,N,,,,,,,,,,,,,,,,,,
g274707-d15070793,Pasta Love,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Konevova 1905/167 right on the tram station Strazni, Prague 13000 Czech Republic",50.09238,14.480346,Claimed,,#1999 of 4632 Restaurants in Prague,#2388 of 6176 places to eat in Prague,"Cheap Eats, Italian, Seafood, Mediterranean",€,€2-€13,"Lunch, Dinner, Drinks","Italian, Mediterranean, Seafood, European",,,N,N,N,"{""Mon"": [""10:00-22:00""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""10:00-22:00""]}",7.0,84.0,7.0,4.0,18.0,English,5.0,4.0,1.0,0.0,0.0,0.0,,,,,
g274707-d15073681,LIHO12,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Lihovarska 12, Prague 19000 Czech Republic",50.105263,14.486278,Claimed,,#2410 of 4632 Restaurants in Prague,#2863 of 6176 places to eat in Prague,"American, European, Asian, Czech",,,,"American, European, Asian, Czech",,,N,N,N,,,,,4.5,7.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d15073881,Blin Prague,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Havlíčkovo náměstí 112/4, Prague 13000 Czech Republic",50.08532,14.45501,Claimed,,#190 of 202 Dessert Spots in Prague,#4470 of 6176 places to eat in Prague,"Cheap Eats, Dessert, Fast food, International",€,€3-€5,,"Fast food, International, European, Eastern European",,,N,N,N,,,,,3.5,2.0,English,2.0,1.0,0.0,0.0,1.0,0.0,,,,,
g274707-d1507464,SaSaZu Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Bubenske Nabrezi 306 Hall 25, Prague 170 04 Czech Republic",50.099308,14.445156,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018",#182 of 4632 Restaurants in Prague,#213 of 6176 places to eat in Prague,"Fine Dining, Asian, Thai, Fusion",€€€€,,"Drinks, Lunch, Dinner, After-hours","Asian, Thai, Fusion",,"Reservations, Seating, Parking Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards, Table Service, Playgrounds",N,N,N,"{""Mon"": [""12:00-00:00""], ""Tue"": [""12:00-00:00""], ""Wed"": [""12:00-00:00""], ""Thu"": [""12:00-00:00""], ""Fri"": [""12:00-01:00""], ""Sat"": [""12:00-01:00""], ""Sun"": [""12:00-00:00""]}",7.0,86.0,7.0,4.5,1648.0,English,1008.0,693.0,177.0,65.0,46.0,27.0,4.5,4.5,4.0,4.5,
g274707-d15080608,Pho Ha Noi,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Krizikova 275/11, Prague 18600 Czech Republic",50.09042,14.44074,Unclaimed,,#1941 of 4632 Restaurants in Prague,#2319 of 6176 places to eat in Prague,Cheap Eats,€,,,,,,N,N,N,,,,,4.5,7.0,English,5.0,4.0,1.0,0.0,0.0,0.0,,,,,
g274707-d15087246,Blue vegan pig,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Voronezska 564/19, Prague 10100 Czech Republic",50.07174,14.445625,Unclaimed,,#183 of 202 Dessert Spots in Prague,#3940 of 6176 places to eat in Prague,"Cheap Eats, Dessert, American",€,€2-€2,,American,,,N,N,N,,,,,5.0,1.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d15088079,Pork’s,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Mostecká 47/16, Prague 118 00 Czech Republic",50.087452,14.406129,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#96 of 4632 Restaurants in Prague,#111 of 6176 places to eat in Prague,"Mid-range, Bar, European, Czech",€€-€€€,,"Lunch, Dinner, Drinks","European, Czech, Bar, Eastern European, Central European",,"Takeout, Reservations, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer",N,N,N,"{""Mon"": [""12:00-23:30""], ""Tue"": [""12:00-23:30""], ""Wed"": [""12:00-23:30""], ""Thu"": [""12:00-23:30""], ""Fri"": [""12:00-23:30""], ""Sat"": [""12:00-23:30""], ""Sun"": [""12:00-23:30""]}",7.0,80.5,7.0,4.5,830.0,English,342.0,254.0,70.0,11.0,2.0,5.0,4.5,4.5,4.5,,"pork knuckle, homemade potato chips, beer ice cream, pork knee, sandwich"
g274707-d15088391,Gallery 44,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Karlova 147/44, Prague 110 00 Czech Republic",50.086,14.418889,Claimed,,#24 of 4632 Restaurants in Prague,#26 of 6176 places to eat in Prague,"Fine Dining, International, Contemporary, Vegetarian Friendly",€€€€,€70-€175,"Dinner, After-hours, Drinks","International, Contemporary","Vegetarian Friendly, Vegan Options, Gluten Free Options","Reservations, Private Dining, Seating, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Digital Payments, Live Music",Y,Y,Y,"{""Mon"": [], ""Tue"": [], ""Wed"": [""13:00-23:00""], ""Thu"": [""13:00-23:00""], ""Fri"": [""13:00-23:00""], ""Sat"": [""13:00-23:00""], ""Sun"": [""13:00-23:00""]}",5.0,50.0,5.0,5.0,512.0,English,299.0,286.0,9.0,3.0,0.0,1.0,5.0,5.0,5.0,,"tasting menu, wagyu beef, cod, risotto, bubbles bar"
g274707-d15098392,Cafe Indigoneba,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Opatovická 3, Prague 11000 Czech Republic",50.07946,14.416363,Unclaimed,,,,"Cheap Eats, Bar, Cafe, Pub",€,€4-€8,,"Bar, Cafe, Pub, Street Food",,,N,N,N,,,,,,,,,,,,,,,,,,
g274707-d15099386,The Don,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Plaska 7, Prague 15000 Czech Republic",50.08045,14.4057,Unclaimed,,,,International,,,,International,,,N,N,N,,,,,,,,,,,,,,,,,,
g274707-d15100426,Lidicka Kebab,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Lidicka 22, Prague 15000 Czech Republic",50.07246,14.40713,Unclaimed,,#112 of 119 Quick Bites in Prague,#4795 of 6176 places to eat in Prague,"Quick Bites, Fast food",,,,Fast food,,,N,N,N,,,,,3.0,2.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
g274707-d1510235,U Cerveneho Raka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Karlova 30, Prague Czech Republic",50.08599,14.41763,Claimed,,#1913 of 4632 Restaurants in Prague,#2286 of 6176 places to eat in Prague,"Mid-range, Bar, European, Pub",€€-€€€,€2-€25,"Lunch, Dinner","Bar, European, Czech, Pub, Fusion",,,N,N,N,,,,,4.0,33.0,English,17.0,6.0,7.0,2.0,1.0,1.0,4.0,3.5,4.0,3.5,
g274707-d15104494,Jaffa Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Prikope 12 Černá růže Shopping Mall, Prague 11000 Czech Republic",50.08456,14.42648,Claimed,"Travellers' Choice, Certificate of Excellence 2020",#7 of 4632 Restaurants in Prague,#8 of 6176 places to eat in Prague,"Mid-range, Lebanese, Middle Eastern, Arabic",€€-€€€,,"Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks","Middle Eastern, Lebanese, Arabic","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,Y,Y,Y,"{""Mon"": [""11:00-22:00""], ""Tue"": [""11:00-22:00""], ""Wed"": [""11:00-22:00""], ""Thu"": [""11:00-22:00""], ""Fri"": [""11:00-22:00""], ""Sat"": [""11:00-22:00""], ""Sun"": [""11:00-22:00""]}",7.0,77.0,7.0,5.0,1349.0,English,638.0,581.0,25.0,16.0,6.0,10.0,4.5,5.0,4.5,,"hummus, mixed grill, shish taouk, lamb, rice"
g274707-d15104951,Mezičasy CAFE,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Betlémská 286/5, Prague 11000 Czech Republic",50.083664,14.414602,Claimed,,#313 of 410 Coffee & Tea in Prague,#3155 of 6176 places to eat in Prague,"Fine Dining, Cafe, European, Healthy",€€€€,€50-€100,"Breakfast, Lunch, Brunch","Cafe, European, Healthy, Soups, Czech",,,N,N,N,"{""Mon"": [""08:00-21:00""], ""Tue"": [""08:00-21:00""], ""Wed"": [""08:00-21:00""], ""Thu"": [""08:00-21:00""], ""Fri"": [""08:00-21:00""], ""Sat"": [""09:00-21:00""], ""Sun"": [""09:00-18:00""]}",7.0,86.0,7.0,4.0,5.0,English,2.0,0.0,1.0,1.0,0.0,0.0,,,,,
g274707-d15107627,Kavarna Melen,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Vodičkova 34 Pasáž EGAP, Prague 110 00 Czech Republic",50.19623,14.68144,Claimed,,#370 of 410 Coffee & Tea in Prague,#4413 of 6176 places to eat in Prague,Cafe,,,,Cafe,,,N,N,N,"{""Mon"": [""13:00-20:00""], ""Tue"": [""13:00-20:00""], ""Wed"": [""13:00-20:00""], ""Thu"": [""13:00-20:00""], ""Fri"": [""13:00-20:00""], ""Sat"": [], ""Sun"": []}",5.0,35.0,5.0,4.0,1.0,All languages,1.0,0.0,1.0,0.0,0.0,0.0,,,,,
g274707-d1510788,Dock House,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Michelska 1006/59, Prague 141 00 Czech Republic",50.050243,14.459063,Claimed,"Certificate of Excellence 2019, Certificate of Excellence 2016, Certificate of Excellence 2015",#636 of 4632 Restaurants in Prague,#754 of 6176 places to eat in Prague,"Mid-range, American, Steakhouse, Barbecue",€€-€€€,€2-€20,"Lunch, Dinner, After-hours, Drinks","American, Steakhouse, Barbecue, European",,,N,N,N,"{""Mon"": [""11:00-21:00""], ""Tue"": [""11:00-21:00""], ""Wed"": [""11:00-21:00""], ""Thu"": [""11:00-21:00""], ""Fri"": [""11:00-21:00""], ""Sat"": [""11:00-21:00""], ""Sun"": [""11:00-21:00""]}",7.0,70.0,7.0,4.0,114.0,English,45.0,21.0,20.0,2.0,2.0,0.0,4.5,4.5,4.0,4.0,
g274707-d1510791,Kolkovna Budejovicka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Budejovicka 13a Prague 4, Prague 14000 Czech Republic",50.04534,14.448964,Claimed,"Certificate of Excellence 2018, Certificate of Excellence 2015",#751 of 4632 Restaurants in Prague,#887 of 6176 places to eat in Prague,"Mid-range, Bar, European, Pub",€€-€€€,€6-€20,,"Bar, European, Pub, Czech, Central European","Vegetarian Friendly, Gluten Free Options",,Y,N,Y,"{""Mon"": [""10:00-20:00""], ""Tue"": [""10:00-20:00""], ""Wed"": [""10:00-20:00""], ""Thu"": [""10:00-20:00""], ""Fri"": [""10:00-20:00""], ""Sat"": [""10:00-20:00""], ""Sun"": [""10:00-20:00""]}",7.0,70.0,7.0,4.0,240.0,English,68.0,21.0,27.0,8.0,6.0,6.0,4.0,3.5,4.0,4.0,
g274707-d1510848,Palavska,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Husitska 63 Prague 3, Zizkov, Prague 0000 Czech Republic",50.08748,14.45238,Claimed,Certificate of Excellence 2015,#1298 of 4632 Restaurants in Prague,#1552 of 6176 places to eat in Prague,"Mid-range, International, European, Pub",€€-€€€,,"Dinner, Lunch, After-hours","Czech, Central European, International, European, Pub",,"Seating, Serves Alcohol, Reservations, Table Service",N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""12:00-00:00""], ""Sun"": [""12:00-23:00""]}",7.0,84.0,7.0,4.5,55.0,English,19.0,8.0,7.0,1.0,1.0,2.0,4.5,4.0,4.5,4.0,
g274707-d15110040,Peppercorn,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Near Křižovnická, Prague 11000 Czech Republic",50.08582,14.415302,Unclaimed,,#1193 of 4632 Restaurants in Prague,#1422 of 6176 places to eat in Prague,"Mid-range, Italian, European, Central European",€€-€€€,,"Lunch, Dinner","Italian, European, Central European",,"Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Table Service, Full Bar",N,N,N,,,,,4.0,90.0,English,41.0,19.0,14.0,3.0,3.0,2.0,4.0,4.0,4.0,,"grilled salmon, goulash, pizza, ribs, jazz duo"
g274707-d15111356,Bento,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Komunardů 13, Prague 17000 Czech Republic",50.10236,14.44969,Unclaimed,,#90 of 119 Quick Bites in Prague,#2808 of 6176 places to eat in Prague,"Quick Bites, Cafe, Asian, Fusion",,,,"Cafe, Asian, Fusion, Vietnamese",,,N,N,N,,,,,5.0,4.0,English,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
