restaurant_link,restaurant_name,original_location,country,region,province,city,address,latitude,longitude,claimed,awards,popularity_detailed,popularity_generic,top_tags,price_level,price_range,meals,cuisines,special_diets,features,vegetarian_friendly,vegan_options,gluten_free,original_open_hours,open_days_per_week,open_hours_per_week,working_shifts_per_week,avg_rating,total_reviews_count,default_language,reviews_count_in_default_language,excellent,very_good,average,poor,terrible,food,service,value,atmosphere,keywords
g274707-d7223444,Bakeshop Little Bakery,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"U luzickeho seminare 99/22 Mala Strana, Prague 118 00 Czech Republic",50.087914,14.409327,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#14 of 410 Coffee & Tea in Prague,#140 of 6176 places to eat in Prague,"Cheap Eats, Bakeries, Cafe, European",€,,"Brunch, Breakfast, Lunch","Cafe, European","Vegan Options, Vegetarian Friendly",,Y,Y,N,"{""Mon"": [""09:00-19:00""], ""Tue"": [""09:00-19:00""], ""Wed"": [""09:00-19:00""], ""Thu"": [""09:00-19:00""], ""Fri"": [""09:00-19:00""], ""Sat"": [""09:00-19:00""], ""Sun"": [""09:00-19:00""]}",7.0,70.0,7.0,4.5,519.0,English,298.0,223.0,52.0,13.0,5.0,5.0,4.5,4.5,4.5,5.0,"quiche, cakes, chocolate croissant, chai, charles bridge"
g274707-d7225965,Kavárna Čekárna,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Vratislavova 30/8, Prague 128 00 Czech Republic",50.066982,14.417525,Unclaimed,Certificate of Excellence 2019,#80 of 410 Coffee & Tea in Prague,#814 of 6176 places to eat in Prague,"Mid-range, Bar, Cafe, Vegetarian Friendly",€€-€€€,,"Breakfast, Brunch","Cafe, Bar","Vegetarian Friendly, Vegan Options",,Y,Y,N,"{""Mon"": [""08:00-22:00""], ""Tue"": [""08:00-22:00""], ""Wed"": [""08:00-22:00""], ""Thu"": [""08:00-22:00""], ""Fri"": [""08:00-22:00""], ""Sat"": [""10:00-20:00""], ""Sun"": [""10:00-20:00""]}",7.0,90.0,7.0,4.5,63.0,English,30.0,25.0,3.0,1.0,1.0,0.0,4.5,4.5,4.0,,
g274707-d7226252,Vanille,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Náměstí Míru 13 Vinohrady, Prague 120 00 Czech Republic",50.074974,14.436686,Unclaimed,,#81 of 410 Coffee & Tea in Prague,#816 of 6176 places to eat in Prague,"Cheap Eats, Dessert, Cafe",€,,Breakfast,Cafe,,"Takeout, Seating",N,N,N,"{""Mon"": [""07:00-20:00""], ""Tue"": [""07:00-20:00""], ""Wed"": [""07:00-20:00""], ""Thu"": [""07:00-20:00""], ""Fri"": [""07:00-20:00""], ""Sat"": [""09:00-20:00""], ""Sun"": [""10:00-20:00""]}",7.0,86.0,7.0,4.5,57.0,English,24.0,13.0,7.0,4.0,0.0,0.0,4.5,4.5,5.0,,
g274707-d7235557,Field Restaurant,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"U Milosrdnych 12, Prague 110 00 Czech Republic",50.09172,14.422162,Claimed,"Travellers' Choice, Michelin 2020 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2020 for Comfortable restaurant",#51 of 4632 Restaurants in Prague,#57 of 6176 places to eat in Prague,"Fine Dining, European, Czech, Central European",€€€€,€8-€25,"Lunch, Dinner","European, Czech, Central European",,"Seating, Serves Alcohol, Full Bar, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Private Dining, Accepts Credit Cards, Table Service, Gift Cards Available",N,N,N,"{""Mon"": [""11:00-14:30"", ""18:00-22:30""], ""Tue"": [""11:00-14:30"", ""18:00-22:30""], ""Wed"": [""11:00-14:30"", ""18:00-22:30""], ""Thu"": [""11:00-14:30"", ""18:00-22:30""], ""Fri"": [""11:00-14:30"", ""18:00-22:30""], ""Sat"": [""12:00-15:00"", ""18:00-22:30""], ""Sun"": [""12:00-15:00"", ""18:00-22:00""]}",7.0,54.5,14.0,4.5,1691.0,English,1112.0,922.0,119.0,49.0,14.0,8.0,4.5,4.5,4.5,4.5,"tasting menu, amuse bouche, goose liver, lamb, foie gras"
g274707-d7241502,Restaurant U Klokočníka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Na Veseli 702/48, Prague 140 00 Czech Republic",50.05531,14.44013,Claimed,,#4424 of 4632 Restaurants in Prague,#5039 of 6176 places to eat in Prague,"Mid-range, Czech",€€-€€€,€4-€10,"Drinks, Lunch, Dinner",Czech,,,N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""11:00-23:00""], ""Sun"": [""11:00-23:00""]}",7.0,84.0,7.0,3.0,20.0,English,6.0,2.0,1.0,2.0,0.0,1.0,3.0,3.5,3.0,,
g274707-d7242541,Slušnej Kanál,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Ondrickova 503/29, Prague Czech Republic",50.18892,14.6636,Unclaimed,,#3657 of 4632 Restaurants in Prague,#4217 of 6176 places to eat in Prague,"American, Soups",,,"Lunch, Dinner","American, Soups",,,N,N,N,"{""Mon"": [""11:00-00:00""], ""Tue"": [""11:00-00:00""], ""Wed"": [""11:00-00:00""], ""Thu"": [""11:00-00:00""], ""Fri"": [""11:00-00:00""], ""Sat"": [""11:00-00:00""], ""Sun"": []}",6.0,78.0,6.0,3.5,7.0,English,5.0,2.0,1.0,1.0,0.0,1.0,,,,,
g274707-d7242546,Pizza in Piazza,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Mikulashska 20/4, Prague 110 00 Czech Republic",50.08756,14.420294,Unclaimed,,#2666 of 4632 Restaurants in Prague,#3147 of 6176 places to eat in Prague,"Mid-range, Pizza, European",€€-€€€,,"Lunch, Dinner","Pizza, European",,"Seating, Wheelchair Accessible, Table Service, Takeout",N,N,N,"{""Mon"": [""10:00-22:00""], ""Tue"": [""10:00-22:00""], ""Wed"": [""10:00-22:00""], ""Thu"": [""10:00-22:00""], ""Fri"": [""10:00-22:00""], ""Sat"": [""10:00-22:00""], ""Sun"": [""10:00-22:00""]}",7.0,84.0,7.0,3.5,46.0,English,21.0,7.0,6.0,1.0,1.0,6.0,3.5,4.0,3.5,,
g274707-d7244214,Café bar Kolíbka,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Reznicka 1891/10 Praha 1, Prague 110 00 Czech Republic",50.07806,14.42323,Claimed,,#1831 of 4632 Restaurants in Prague,#2194 of 6176 places to eat in Prague,"Cheap Eats, Cafe, Pub, Wine Bar",€,,"Dinner, Brunch, After-hours, Drinks","Cafe, Pub, Wine Bar, Soups",,"Outdoor Seating, Seating, Full Bar, Digital Payments, Accepts Credit Cards, Dog Friendly, Non-smoking restaurants",N,N,N,"{""Mon"": [""11:00-23:00""], ""Tue"": [""11:00-23:00""], ""Wed"": [""11:00-23:00""], ""Thu"": [""11:00-23:00""], ""Fri"": [""11:00-23:00""], ""Sat"": [""17:00-23:00""], ""Sun"": [""17:00-23:00""]}",7.0,72.0,7.0,4.0,16.0,English,10.0,5.0,3.0,2.0,0.0,0.0,4.0,4.5,4.0,,
g274707-d7245624,Bar Restaurant Karlova 30,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Karlova 163/30, Prague 110 00 Czech Republic",50.08608,14.417672,Claimed,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019, Certificate of Excellence 2018, Certificate of Excellence 2017, Certificate of Excellence 2016",#326 of 4632 Restaurants in Prague,#377 of 6176 places to eat in Prague,"Mid-range, Bar, European, Czech",€€-€€€,€3-€10,,"Bar, Czech, Eastern European, Central European, European",Vegetarian Friendly,,Y,N,N,"{""Mon"": [""12:00-00:00""], ""Tue"": [""12:00-00:00""], ""Wed"": [""12:00-00:00""], ""Thu"": [""12:00-00:00""], ""Fri"": [""12:00-00:00""], ""Sat"": [""12:00-00:00""], ""Sun"": [""12:00-00:00""]}",7.0,84.0,7.0,4.0,502.0,English,183.0,103.0,53.0,11.0,3.0,13.0,4.5,4.0,4.0,4.5,"soup, goulash, bread, ribs, hefty service charge"
g274707-d7246384,Artima,"[""Europe"", ""Czech Republic"", ""Bohemia"", ""Prague""]",Czech Republic,Bohemia,,Prague,"Nad Lavkou, 5, Prague Czech Republic",50.09668,14.34317,Unclaimed,,,,"European, Czech",,,,"European, Czech",,,N,N,N,,,,,,,,,,,,,,,,,,
